approach,n,accuracy,precision,recall,f1,latency_mean_ms,cost_usd_total,escalated_pct,TP,FP,FN,TN
few_shot,12,1.0,1.0,1.0,1.0,3715.762982753707,0.073168,0.0,12,0,0,0
hybrid,12,1.0,1.0,1.0,1.0,4952.073663002618,0.0869,0.0,12,0,0,0
reference_based,12,1.0,1.0,1.0,1.0,4971.842798501409,0.0849,0.0,12,0,0,0
zero_shot,12,1.0,1.0,1.0,1.0,4919.597739589032,0.076978,0.0,12,0,0,0
